歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
零度的亲吻MVFrozen kiss,因你而在,"
				时间静止了 身边没人
如果爱停了 谁会留着
你不说理由 也不做选择
面对面的我们 像两个陌生人

零度的亲吻 最礼貌的双唇
感觉变了 骗不了任何人
零度的亲吻 你闭上双眼不让我看透
我不想追问 还能撑多久

手一直牵着 心却丢了
我们在等着 谁先开口
表面的笑容 让人更难受
爱永远无法平衡 我其实都懂得

零度的亲吻 最礼貌的双唇
感觉变了 骗不了任何人
零度的亲吻 你闭上双眼不让我看透
我只是不想 追问

我准备好接受 别用亏欠拖着
夜太长 梦太多 放不下 为什么

亲吻着 曾热烈的双唇
感觉变了 骗不了任何人
你的亲吻 总闭上双眼害怕我看透
我不难过 我会 好好的

制作人：林俊杰
配唱制作：Zennon Goh
制作协力：Gary Leo，周信廷
和声编写：林俊杰
和声：林俊杰
编曲 & Keyboards：Terence Teo
吉他：Jamie Wilson
低音吉他：Gary Leo
鼓：Brendan Buckley
第一小提琴：孔朝辉，顾文丽，魏喆，陈大伟，孔宪隆
第二小提琴：隋晶晶，尹淑占，孔宪隆
中提琴：水兵，关旗
大提琴：王言，赵羽儿
录音室：The Fire（SG）/Boss Studio（SG）/Yellow Box（SG）/Layer Cake Studio（LA）/JFJ Base Camp（Taipei）
录音师：Zennon Goh，Philip Wong，Gary Leo，Brendan Buckley，林俊杰
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin

OP：大潮音乐经纪有限公司
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398002
				",林俊杰,林怡凤,林俊杰,Terence Teo,1214,218
黑暗骑士MVThe Dark Knight,因你而在,"
				JJ：黑暗里谁还不睡 黑色的心情和斗篷假面
黑夜的黑不是最黑 而在于贪婪找不到底线
信：脚下是卑微的街 我孤独站在城市天际线
别问我恶类或善类 我只是渴望飞的哺乳类

JJ：善恶的分界 不是对立面
信：而是每个人 那最后纯洁的防线
合：都逃不过考验

JJ：有没有一种考验 有没有一次淬炼 拯救了世界就像 
合：英雄 电影 情节
信：有没有一种信念 有没有一句誓言 呼唤黎明的出现 
合：yeah yeah yeah yeah 呼唤黎明的出现 yeah yeah yeah yeah
JJ：呼唤黎明的出现

信：为什么抓光了贼 多年来更没目击过抢匪
而贫穷还是像潮水 淹没了人们生存的尊严
JJ：文明最颠峰某天 人们和蝙蝠却住回洞穴
那罪行再也看不见 都躲在法律和交易后面

合：善恶的分界 不怕难分辨
只怕每个人 都关上双耳和双眼 都害怕去改变

JJ：有没有一种改变 有没有一次壮烈 结局的完美就像 
合：英雄 电影 情节
信：有没有一种信念 有没有一句誓言 呼唤黎明的出现 
合：yeah yeah yeah yeah 呼唤黎明的出现 
yeah yeah yeah yeah 呼唤黎明的出现
JJ：呼唤黎明的出现

合：越来越毒的雨水 越来越多的灾变
越来越远的从前 英雄 电影 情节
律师和小丑勾结 民代和财团签约
信：善良和罪恶妥协

合：越来越大的企业 越来越小的公园
越来越深的幻灭 英雄 电影 情节
面具下的人是谁 或者说不管是谁 都无法全身而退 
yeah yeah yeah yeah 都无法全身而退 
yeah yeah yeah yeah 都无法全身而退 

JJ：当我们都走上街 当我们怀抱信念 当我们亲身扮演 
合：英雄 电影 情节
你就是一种信念 你就是一句誓言
世界正等你出现 
yeah yeah yeah yeah 世界正等你出现 
yeah yeah yeah yeah 

JJ：oh~yeah yeah

制作人：林俊杰/五月天
配唱制作：林俊杰/阿信（五月天）
制作协力：Gary Leo，周信廷
编曲 & Keyboards：林俊杰/五月天
吉他：怪兽（五月天），石头（五月天）
低音吉他：玛莎（五月天）
鼓：冠佑（五月天）
和声编写：林俊杰
和声：林俊杰
录音室：五月天录音室/The Link（Taipei）/JFJ Base Camp（Taipei）
录音师：黄士杰，Dr.Moon，林俊杰
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin

OP：认真工作室
SP：相信音乐国际股份有限公司
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398003
				",林俊杰,阿信@五月天,林俊杰,林俊杰 / 五月天,13410,2149
修炼爱情MVPractice Love,因你而在,"
				凭什么要失望 藏眼泪到心脏
往事不会说谎别跟他为难
我们两人之间不需要这样 我想

修炼爱情的心酸
学会放好以前的渴望
我们那些信仰 要忘记多难
远距离的欣赏 近距离的迷惘
谁说太阳会找到月亮
别人有的爱 我们不可能模仿

修炼爱情的悲欢
我们这些努力不简单
快乐炼成泪水 是一种勇敢
几年前的幻想 几年后的原谅
为一张脸去养一身伤
别讲想念我 我会受不了这样

记忆它真嚣张 路灯把痛点亮
情人一起看过多少次月亮
它在天空看过多少次遗忘 多少心慌

修炼爱情的心酸
学会放好以前的渴望
我们那些信仰 要忘记多难
远距离的欣赏 近距离的迷惘
谁说太阳会找到月亮
别人有的爱 我们不可能模仿

修炼爱情的悲欢
我们这些努力不简单
快乐炼成泪水 是一种勇敢
几年前的幻想 几年后的原谅
为一张脸去养一身伤
别讲想念我 我会受不了这样

笑着说爱让人疯狂 哭着说爱让人紧张
忘不了那个人就投降

修炼爱情的悲欢
我们这些努力不简单
快乐炼成泪水 是一种勇敢
几年前的幻想 几年后的原谅
为一张脸去养一身伤
别讲想念我 我会受不了这样

几年前的幻想 几年后的原谅
为一张脸去养一身伤
别讲想念我 我会受不了这样

制作人：林俊杰
配唱制作：许环良
制作协力：Gary Leo，周信廷
编曲 & Keyboards：吴庆隆
吉他：Jamie Wilson，Grecco Buratto
鼓：Brendan Buckley
低音吉他：Eric Holden
第一小提琴：孔朝辉，顾文丽，魏喆，陈大伟，孔□隆
第二小提琴：隋晶晶，尹淑占，孔宪隆
中提琴：水兵，关旗
大提琴：王言，赵羽儿
和声编写：林俊杰
和声：林俊杰
录音室：The Fire（SG）/Yellow Box（SG）/Studio In The Hill（SG）/Boss Studio（SG）/Impactstudio（Taipei）/Layer Cake Studio（LA）
录音师：许环良，Gary Leo，Philip Wong，陈忠宏，Brendan Buckley
混音室：白金录音室（Taipei）
混音师：林正忠

OP：飞行石有限公司
SP：Warner/Chappell Music Taiwan Ltd.
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398004
				",林俊杰,易家扬,林俊杰,吴庆隆,21603,4385
飞机MVFly Back In Time,因你而在,"
				哥：好久不见 飞得好近 相隔好远
JJ：如地平线 那么清楚却 远在天边
哥：从前从前 JJ：转眼今天

合：怎么走怎么还原 怎么飞回那单纯的世界 
折好的飞机里面 JJ：写着从前
合：怎么找回那一天 固执地飞向那一个见面
哥：划过身边 JJ：降落以前

哥：简单一点 飞的方向 要清楚明确
JJ：原始一点 或许我们会 快乐一些
哥：从前今天 JJ：直到永远

合：怎么走怎么还原 我好想回到单纯的世界 
JJ：折好的飞机里面 合：写着永远
合：怎么找回那一天 固执地停留在那一瞬间
哥：待久一点 合：都没改变

JJ：怎么走怎么还原 怎么飞回那单纯的世界
折好的飞机里面 写着从前
合：怎么找回那一天 固执地飞向那一个见面
JJ：划过身边 合：降落以前
哥：从前今天 合：直到永远

制作人：许环良
配唱制作：许环良
制作协力：Gary Leo，周信廷
编曲 & Keyboards：陈炯顺
钢琴：林俊杰 + Wilson Tan
管风琴：Joe Vannelli
吉他：Jamie Wilson
锡长笛：纪康阳
低音吉他：Wan Kelly
录音室：The Scape（SG）/Impact Studio（Taiwan）/Bloom Studio（Malaysia）
录音师：Billy Koh，Aaron Chen，Andrew Low
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin

OP：Touch Music Publishing Pte Ltd.,Compass
SP：大潮音乐经纪有限公司
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398005
				",林俊杰,张思尔,林俊杰,陈炯顺,350,149
巴洛克先生Mr. Baroque (Interlude),因你而在,"
				原曲：J.S Bach
改编自：Invention No.13 in A Minor
小提琴特别演奏：王力宏

制作人：林俊杰
编曲 & Keyboards：林俊杰 & 王力宏
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin 

OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398006
				",林俊杰,J.S Bach,林俊杰 / 王力宏,,188,42
One ShotMV,因你而在,"
				Just one shot
Is all you got to make or break into your fame
Just one shot
They will lift you up and take you down the same
Only got one shot
Will you give it all you've got
Let it take you to the top
Or will you bleed it out in vain?

Only got one shot
Tell your heart to never stop
Lock your eyes only on the spot
If there is no pain there will be no gain

O Father please, I ask for Your mercy
They judge me way before they even know me
O Father please, do you hear me screaming
These lights won't stop chasing after me

I will not fall I will not crawl, I will keep on standing tall
'Til I'm strong enough to break this wall
Oh~ I won't drown don't tie me down
Won't you just set me free
It takes one shot to strip it away from me

And O my Lord, I can't believe what I saw
You got one shot
Just to make or break your fame
Just one shot
They will lift you up, take you down the same
Only got one shot
Will you give it all you've got
Let it take you to the top
Or will you bleed it out in vain?

Only got one shot
Tell your heart to never stop
Lock your eyes only on the spot
If there is no pain there will be no gain

RAP -
Our father, who art in heaven
Hallowed be thy name
In thy name I pray you, to oh forever it remains
I know you haven't left me but I'm feeling so alone
When the darkness comes I shall never have to wait on my own
I feel so lost, my mind is going out of control
Vengeance is mine, I will repay, says The Lord
I'm persecuted but not forsaken, struck down to the floor
But not destroyed cause Its not like this hasn't happened before
I see these lights and you've warned me to be on the alert
My heart is tired from soaking it up like rain in the dirt

Oh~ just one shot
Oh~ yeah~
Yeah~ one shot
They will lift you up, take you down the same
Only got one shot
Will you give it all you've got
Let it take you to the top
Or will you bleed it out in vain?

Only got one shot
Tell your heart to never stop
Lock your eyes only on the spot
If there is no pain there will be no gain

小提琴特别演奏：王力宏
制作人：林俊杰
配唱制作：林俊杰
制作协力：周信廷
编曲 & Keyboards：蔡政勋
和声编写：林俊杰
和声：林俊杰
录音室：The Link（Taipei）/JFJ Base Camp（Taipei）
录音师：林钰娜/林俊杰
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin
Rap：Mike Chang

OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
OP：JFJ Productions Corp.
SP：Universal Music Publishing LTD Taiwan.
ISRC TWA531398007
				",林俊杰,林俊杰 / Mike Chang,林俊杰,蔡政勋,641,190
裂缝中的阳光MVBefore Sunrise,因你而在,"
				有多少创伤卡在咽喉 有多少眼泪滴湿枕头
有多少你觉得不能够 被懂的痛 只能沉默
有多少夜晚没有尽头 有多少的寂寞 无人诉说
有多少次的梦 还没作 已成空

等到黑夜翻面之后 会是新的白昼
等到海啸退去之后 只是潮起潮落
别到最后你才发觉 心里头的野兽
还没到最终就已经罢休

心脏没有那么脆弱 总还会有执着
人生不会只有收获 总难免有伤口
不要害怕生命中 不完美的角落
阳光在每个裂缝中散落

就算一切重来又怎样 让你的心在我 心上跳动
每个逐渐暗下来的夜 一起走过

等到黑夜翻面之后 会是新的白昼
等到海啸退去之后 只是潮起潮落
别到最后你才发觉 心里头的野兽
还没到最终就已经罢休

心脏没有那么脆弱 总还会有执着
人生不会只有收获 总难免有伤口
不要害怕生命中 不完美的角落
阳光在每个裂缝中散落

不如就勇敢打破 生命中的裂缝
阳光就逐渐洒满了其中

制作人：林俊杰
配唱制作：林俊杰
制作协力：周信廷
编曲 & Keyboards：林俊杰
吉他：Jamie Wilson
和声编写：林俊杰
和声：林俊杰
录音室：The Link（Taipei）/JFJ Base Camp（Taipei）
录音师：Dr.Moon/林俊杰
混音室：Blue Moon Studio（California）
混音师：Joe Vannelli & Joe Primeau with JJ Lin

OP：林暐哲音乐社有限公司
SP：Universal Music Publishing Ltd Taiwan.
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398008
				",林俊杰,吴青峰,林俊杰,林俊杰,5809,709
友人说MVSomebody,因你而在,"
				比情歌更动听 当你听到有人说
比感冒更流行 谁和谁的友人说
全世界都相信 但每一张嘴都说 
不是我 全都不是我 
千万别告诉别人 喔喔喔
秘密只说给你听 勾勾手 有人说 对或错

谁的暧昧又对号入座 yeah~
一句问候就被想太多 yeah~
顺道变成 温馨的接送
礼貌被当成温柔 就这样传遍了耳朵

比情歌更动听 当你听到有人说
比感冒更流行 谁和谁的友人说
全世界都相信 但每一张嘴都说 
不是我 全都不是我 
千万别告诉别人 喔喔喔
秘密只说给你听 勾勾手 有人说 对或错

什么时候有这个朋友 hello~
和你分享虚拟的传说

RAP -
你说他说谁说 说太多我看不懂
好像扑朔迷离的小说 oh
其实历史课本都说 战争都是对方的错 对或错

比情歌更动听 当你听到有人说
比感冒更流行 谁和谁的友人说
全世界都相信 但每一张嘴都说 
不是我 全都不是我 
千万别告诉别人 喔喔喔
秘密只说给你听 勾勾手 有人说 对或错

比情歌更动听 当你听到友人说
比感冒更流行 
全世界都相信 但每一张嘴都说 
不是我 全都不是我 
千万别告诉别人 喔喔喔
秘密只说给你听 勾勾手 有人说 都怪我

RAP -
你说他说谁说 他说你说我说
我说她说谁说 他说你说我说
我说他说谁说 谁说你说我说
管他谁说的 听我们的

制作人：林俊杰
配唱制作：林俊杰
制作协力：周信廷
编曲 & Keyboards：Martin Tang
吉他：Jamie Wilson
和声编写：林俊杰
和声：林俊杰
录音室：The Link（Taipei）/JFJ Base Camp（Taipei）
录音师：Dr.Moon/林俊杰
混音室：Supahfly Republic（New York）
混音师：Miles Walker
Rap：怀秋

OP：黄版芽娱乐开发有限公司
SP：Universal Music Publishing Ltd Taiwan.
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398009
				",林俊杰,李念和,林俊杰,Martin Tang,771,179
十秒的冲动10 Seconds Of Insane Bravery,因你而在,"
				狭小的厨房 拥挤的沙发
竟然能在你走后 变这么空荡
梦被窃取的每个 晚上
醒着在往事里面 流浪

情绪太满我跟黑夜 讲话
可是没有谁安慰 回答

否认不了 I miss you
十秒的冲动 让幸福开头
但最后的冲动 让感情远走 被回忆淹没

忙碌的背后 失神的凝望
窗外的一朵浮云 迷失了方向
对于爱情有着太多 想象
才会怪对方让人 失望

否认不了 I miss you
十秒的冲动让幸福开头
但最后的冲动 让感情远走 被回忆淹没

爱恨常常为了 同样一个理由
热恋时候喜欢情浓 不爱了就嫌沉重
抵抗不了 I miss you
最初的冲动 会召唤笑容
但最后的冲动 无法再回头 只剩下疼痛

制作人：林俊杰
配唱制作：李偲菘
制作协力：Gary Leo
编曲 & Keyboards：吴庆隆
弦乐编写：吴庆隆
第一小提琴：孔朝辉
第二小提琴：顾文丽
中提琴：关旗
大提琴：王言
录音室：Resonance Audio（SG）/Yellow Box（SG）/Studio In The Hill（SG）
录音师：Leonard Fong，Gary Leo
混音室：白金录音室（Taipei）
混音师：林正忠

OP：Great Music Publishing Ltd.
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398010
				",林俊杰,姚若龙,林俊杰,吴庆隆,350,79
以后要做的事MVFuture Tense,因你而在,"
				还没走到最后 请别低着头
沿途捡的梦 是否 有些不安和迷惑
有些应该紧握 有些该放手
会隐隐作痛 走过 才是真实的自我

别逃避我们以后 要做的事情
多些幻想少一些 犹豫的途径
路不该是疑问句 要比谁都清晰
时间从来不为谁 暂停了前进
就像爱从来不曾会风平浪静
未来就会揭谜底 命运捧在我手心

还没走到最后 请别低着头
沿途捡的梦 是否 有些不安和迷惑
有些应该紧握 有些该放手
会隐隐作痛 走过 才是真实的自我

别逃避我们以后 要做的事情
多些幻想少一些 犹豫的途径
路不该是疑问句 要比谁都清晰
时间从来不为谁 暂停了前进
就像爱从来不曾 会风平浪静
未来就会揭谜底 命运捧在我手心

或许会不知所措 痛过才浮现彩虹
越纯粹就越感动 我ㄧ抬头 是最初的天空

别逃避我们以后 要做的事情
多些幻想少一些 犹豫的途径
路不该是疑问句 要比谁都清晰
时间从来不为谁 暂停了前进
就像爱从来不曾 会风平浪静
未来就会揭谜底 命运捧在我手心

制作人：林俊杰
配唱制作：林俊杰
编曲 & Keyboards：Kenn C
和声编写：林俊杰
和声：林俊杰
录音室：The Link（Taipei）/JFJ Base Camp（Taipei）
录音师：Dr.Moon/林俊杰
混音室：Mixhaus Studio（Encino，CA）
混音师：Richard Furch

OP：Linfair Music Publishing Ltd. 福茂著作权
OP：JFJ Productions Corp.
SP：Universal Music Publishing Ltd Taiwan.
ISRC TWA531398011
				",林俊杰,王雅君,林俊杰,Kenn C,2761,433
"一千年后记得我MVHidden Track / Remember, Forever",因你而在,"
				我曾经来过 如果你能记得
那年我还如此 腼腆而羞涩
这些年以后 我内心却依旧
只是不能确定 你怎样看我

是否会有不能跨越的距离
是否也有沧海桑田的惋惜
我该怎么做 什么都不说的我

让爱不熟 让心不透 让一切再来过
让我把所有美好 在你面前不做保留
让梦不走 让泪不流 让你快快乐乐
真心喜爱不会一无所获
让你一千年后记得我

(台湾歌迷合音) 不懂爱恨情仇煎熬的我们
(香港歌迷合音) 不懂悲欢离合难受的我们
(美加歌迷合音) 只要能见面 
(中国歌迷合音) 只要再见面 
(新马歌迷合音) 足够

让爱不熟 让心不透 让一切再来过
让我把所有美好 在你面前不做保留
让梦不走 让泪不流 让你快快乐乐
让真心喜爱不会一无所获
让你一千年后记得我

(新马歌迷合音) 让爱不熟 
(香港歌迷合音) 让心不透 
(北京歌迷合音) 让一切再来过
(台湾、美加歌迷合音) 让我把所有美好 
(所有歌迷) 在你面前不做保留

让梦不走 让泪不流 让你快快乐乐
真心喜爱不会一无所获
从你爱笑的眼睛里看我
Hey baby 사랑해요 (Sarang hey yo)
一千年以后记得我

制作人：林俊杰
配唱制作：Zennon Goh
制作协力：Gary Leo、周信廷
编曲&键盘：蔡政勋
吉他：康小白
和声编写：Jim Lim
和声：Jim Lim
歌迷合唱：王宣惠、苏宇翎 (台北) / 刘雯欣、林勇益 (新马) / 周玉书、李若昀、刘哲 (北京) / 陈靖渝、黄文玥 (香港) / 梁峻瀚 (美国)
录音室：The Fire (Singapore)
录音师：Zennon Goh
混音室：Yellow Box (Singapore)
混音师：Frank Lee、Gary Leo

OP: 孙逸仙文化股份有限公司
SP: 大潮音乐经纪有限公司
OP: JFJ Productions Corp.
SP: Universal Music Publishing Ltd Taiwan.
ISRC TWA531398012
				",林俊杰,林秋离,林俊杰,蔡政勋,1507,257
飞云之下Under The Cloud,飞云之下,"
				韩红：风 让云长出花 漫天的花
无声开在乌云之下 然后 又飘到哪里呀
喔

林俊杰：漫步在人海的人 你过得好吗
是不是又想念家
心中那炙热的梦啊
合：它多久没说话

韩红：在飞云之下 以为忘了的家
在耳里说话 叫我别烦心那些痛与怕
林俊杰：喔 半路上的我 穿上回忆和风沙

合：在飞云之下
韩红：我看着海峡
走月光沙滩 我也承认我还是会想他
喔 且慢 前面听说风很大

林俊杰：心 在云里摩擦 又酸又麻
但是思念在梦里爬 以后 还有谁值得等吗
喔

韩红：孤单是件风衣 它裹起了怕
然而我很勇敢啊
没人记得我也没差
合：未来在等我去拿

韩红：在飞云之下 以为忘了的家
在耳里说话 叫我别烦心那些痛与怕
林俊杰：喔 半路上的我 穿上回忆和风沙

韩红：在飞云之下 我看着海峡
走月光沙滩 
合：我也承认我还是会想他
韩红：喔 且慢 
林俊杰：且慢
合：前面听说风很大
喔

韩红：在飞云之下 以为忘了的家
在耳里说话 叫我别烦心那些痛与怕
林俊杰：半路上的我 穿上回忆和风沙 

韩红：飞云之下 我看着海峡
走月光沙滩 我也承认我还是会想他
合：且慢 前面听说风很大
喔



制作人：林俊杰
人声录音：林俊杰、瞿然、Leonard Fong、李岳松、黄冠龙 
混音：周天澈、Richard Furch
封面设计：方亮
录音棚：HONG MUSIC STUDIO
				",韩红,易家扬,林俊杰,Terence Teo,24470,2480
SixologyMV,JJ陆,"
				Well
It's really been awhile 
其实 已经有一段日子了
After all this drama in the world
在这戏剧的世界中
It's back to my little cove
终于回到了现实
And I thank the Lord still
可是 我还要感谢主
It's so good to be me
回到做自己最棒
Sixology...
六的哲学
				",林俊杰,林俊杰,林俊杰,林俊杰 / 陈炯顺,19,4
不潮不用花钱MV,JJ陆,"
				Rap: 
Hey greedy, don’t fret
What you see is what you get
You name it, I have it
What you see is what you get

左左 左左 偏左就用左手 生活就不用想太多
怦怦 怦怦 心动张开眼睛 就记得当下的强烈

有时灵光一闪而过 牛顿也吃苹果
我的念头不太啰嗦 限时间能入座

请你 不要到处叩叩 潮流需要抠抠 不小心就没抠抠
用力到处扣扣 花掉所有抠抠 钱买不到绝活

你说 听说 听说 你听谁说 跟着乱走 闹哄哄
通通 通通 普通 普通 如果不懂 不要随便拒绝

有时灵光一闪而过 牛顿也吃苹果
我的念头不太啰嗦 限时间能入座

请你 不要到处叩叩 潮流需要抠抠 不小心就没抠抠
用力到处扣扣 花掉所有抠抠 钱买不到绝活

Rap: 
Little chick having chips on my sofa
Bearbricxs take a shit on my sofa
Smudge babies lying on my sofa
Neighborhxxds and kiks singing “so-fa”

Hey greedy, don’t fret
What you see is what you get
You name it, I have it
What you see is what you get

请你 不要到处叩叩 潮流需要抠抠 不小心就没抠抠
用力到处扣扣 花掉所有抠抠 钱买不到绝活

Hey greedy, don’t fret（耶 叩叩）
What you see is what you get（叩叩）
You name it, I have it（不要到处叩叩）
What you see is what you get
Hey greedy, don’t fret（不要到处叩叩）
What you see is what you get（叩叩）
You name it, I have it（喔 叩叩）
What you see is what you get

喔 叩叩 叩叩 喔


制作人：林俊杰
配唱制作：吴剑泓
制作协力：陈炯顺
吉他：林俊杰、Kenn C
和声编写：林俊杰
和声：林俊杰
RAP词：林俊杰
录音室：The Home（台北）
录音师：吴剑泓
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vannelli with 林俊杰、吴剑泓
OP：大潮音乐经纪有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB670805202
				",林俊杰,林怡凤,林俊杰,林俊杰 / Kenn C,607,182
小酒窝MV,JJ陆,"
				我还在寻找　一个依靠　和一个拥抱
谁替我祈祷　替我烦恼　为我生气为我闹

幸福开始有预兆　缘份让我们慢慢紧靠
然后孤单被吞没了　无聊变得有话聊　有变化了

小酒窝　长睫毛　是你最美的记号
我每天睡不着　想念你的微笑
你不知道　你对我多么重要
有了你　生命完整的刚好

小酒窝　长睫毛　迷人的无可救药
我放慢了步调　感觉像是喝醉了
终于找到　心有灵犀的美好
一辈子暖暖的好　我永远爱你到老

幸福开始有预兆　缘份让我们慢慢紧靠
然后孤单被吞没了　无聊变得有话聊　有变化了

小酒窝　长睫毛　是你最美的记号
我每天睡不着　想念你的微笑
你不知道　你对我多么重要
有了你　生命完整的刚好

小酒窝　长睫毛　迷人的无可救药
我放慢了步调　感觉像是喝醉了
终于找到　心有灵犀的美好
一辈子暖暖的好　我永远爱你到老

小酒窝　长睫毛　迷人的无可救药
我放慢了步调　感觉像是喝醉了
终于找到　心有灵犀的美好
一辈子暖暖的好　我永远爱你到老
				",林俊杰,王雅君,林俊杰,林俊杰 / 吴剑泓,2823,432
黑武士MV,JJ陆,"
				林俊杰 - 黑武士
作词：阿信 作曲：林俊杰
专辑 - JJ陆

有了天空 为何世界 还有地心引力
有了希望 为何绝望 还是如影随形
有了勇气 就让哭泣 埋藏过去
去写一种历史 名字叫奇迹

如果恐惧就像火炬 那就让它沸腾我血液
带我到绝地 我才能完全觉醒

在黑暗的对面是光明 光明后面是阴影
正义 邪恶是谁有权定义
在命运的前面我怀疑 在面具后面铁一般决心
光荣的牺牲 也是种荣誉

不怕人说 不要人懂 我要证明
明天我的姓名 将会是传奇
如果恐惧就像火炬 那就让它沸腾我血液
带我到绝地 我才能完全觉醒

在黑暗的对面是光明 光明后面是阴影
正义 邪恶是谁有权定义
在命运的前面我怀疑 在面具后面铁一般决心
光荣的牺牲 也是种荣誉

失败会设下陷阱 没有胜利会发出邀请
只要我自己 能够 还我自己公平
还我自己公平

在黑暗的对面是光明 光明后面是阴影
正义 邪恶是谁有权定义
在命运的前面我怀疑 在面具后面铁一般决心
要扭转命运 最后的反击
				",林俊杰,阿信,林俊杰,林俊杰,321,136
醉赤壁MV网游《赤壁Online》主题曲,JJ陆,"
				落叶堆积了好几层 而我踩过青春
听见 前世谁在泪语纷纷
一次缘份结一次绳 我今生还在等
一世 就只能有一次的认真

确认过眼神 我遇上对的人
我挥剑转身 而鲜血如红唇
前朝记忆渡红尘 伤人的不是刀刃
是你转世而来的魂

确认过眼神 我遇上对的人
我策马出征 马蹄声如泪奔
青石板上的月光照进这山城
我一路的跟 你轮回声 我对你用情极深

洛阳城旁的老树根 像回忆般延伸
你问 经过是谁的心跳声
我拿醇酒一坛饮恨 你那千年眼神
是我 醉醉坠入赤壁的 伤痕

确认过眼神 我遇上对的人
我挥剑转身 而鲜血如红唇
前朝记忆渡红尘 伤人的不是刀刃
是你转世而来的魂

确认过眼神 我遇上对的人
我策马出征 马蹄声如泪奔
青石板上的月光照进这山城
我一路的跟 你轮回声 我对你用情极深

确认过眼神 我遇上对的人
我策马出征 马蹄声如泪奔
青石板上的月光照进这山城
我一路的跟 你轮回声 我对你用情极深
我一路的跟 你轮回声 我对你用情极深
				",林俊杰,方文山,林俊杰,蔡政勋,4485,1066
由你选择MV,JJ陆,"
				林俊杰 - 由你选择
作词：农夫FAMA 作曲：林俊杰
专辑 - JJ陆

我要选择我自己既选择
我要表达我自己既表白
选择企或者坐
选择错我都选择过

今天你做的什么 明天你要做什么
要往前走 还是往后 要往左 还是往右
我的路每一步该怎么走
有谁在等候
一路向前走来到十字路口
Wo 把所有阻碍抛到脑后

不管你是哪一个 哪个都阻挡不得
我用自己的选择 将我发光发热
不满意我又如可 为什么要听你的
我行我素的风格 就是忠于我选择

系个宗教 定个书包
另你安全 觉得可靠
无人敢考 无人敢教
你一生 你去调教

从前的懵懂可笑 未来的没人知道
等待拥抱还是寻找 要咆哮还是祷告
只有我最清楚我的需要 不用指教
我是我自己生命的主角
让梦想在我胸中燃烧

不管你是哪一个 哪个都阻挡不得
我用自己的选择 将我发光发热
不满意我又如可 为什么要听你的
我行我素的风格 就是忠于我选择

不管你是哪一个 哪个都阻挡不得
我用自己的选择 将我发光发热
不满意我又如可 为什么要听你的
我行我素的风格 就是忠于我选择
				",林俊杰,农夫FAMA,林俊杰,DJ Tommy,105,27
Always OnlineMVS10笔记本主题曲 / 联想idea Pad S9,JJ陆,"
				林俊杰 - Always Online

作词：林怡凤 作曲：林俊杰

变色的生活 任性的挑拨
疯狂的冒出了头
单方的守侯 试探的温柔
还是少了点什么

遥远两端 爱挂在天空飞
风停了也无所谓 只因为你总说 
Everthing will be okay

准备好了three two one, I'm always online
和你one to one 爱开始扩散
我们连结了 穿越 天空 银河 oh~~
开始倒数three two one 删除我的孤单
more and more尽是深刻
爱亮了 爱笑了 I'm always online

变色的生活 任性的挑拨
疯狂的冒出了头
单方的守侯 试探的温柔
却还是少了点什么

遥远两端 爱挂在天空飞
风停了也无所谓 只因为你总说 
Everthing Will Be okay

我准备好了three two one, I'm always online
和你one to one 爱开始扩散
我们连结了 穿越 天空 银河 oh~~
开始倒数three two one 删除我的孤单
more and more尽是深刻
爱亮了 爱笑了 I'm always online

准备好了three two one, I'm always online
和你one to one 爱开始扩散
我们连结了 穿越 天空 银河 oh~~
开始倒数three two one 删除我的孤单
more and more尽是深刻
爱亮了 爱笑了 I'm always online
爱亮了 爱笑了 I'm always online
				",林俊杰,林怡凤,林俊杰,陈建玮/蔡政勋,563,347
